time,regions,market_segments,sales_channels,quantity,revenue
2017.12,Region H,Market Segment 2,Sales Channel 4,214290.6154,428581.2308
2017.12,Region H,Market Segment 3,Sales Channel 1,1785755.128,3571510.257
2017.12,Region H,Market Segment 3,Sales Channel 2,1035737.974,3107213.923
2017.12,Region H,Market Segment 3,Sales Channel 3,642871.8462,3214359.231
2017.12,Region H,Market Segment 3,Sales Channel 4,107145.3077,535726.5385
2017.12,Region H,Market Segment 4,Sales Channel 1,1785755.128,5357265.385
2017.12,Region H,Market Segment 4,Sales Channel 2,1035737.974,2071475.949
2017.12,Region H,Market Segment 4,Sales Channel 3,642871.8462,3214359.231
2017.12,Region H,Market Segment 4,Sales Channel 4,107145.3077,428581.2308
2017.12,Region I,Market Segment 1,Sales Channel 1,63765734.52,127531469
2017.12,Region I,Market Segment 1,Sales Channel 2,36984126.02,184920630.1
2017.12,Region I,Market Segment 1,Sales Channel 3,22955664.43,91822657.71
2017.12,Region I,Market Segment 1,Sales Channel 4,3825944.071,7651888.142
2017.12,Region I,Market Segment 2,Sales Channel 1,7970716.815,39853584.07
2017.12,Region I,Market Segment 2,Sales Channel 2,4623015.753,23115078.76
2017.12,Region I,Market Segment 2,Sales Channel 3,2869458.053,14347290.27
2017.12,Region I,Market Segment 2,Sales Channel 4,478243.0089,1912972.036
2017.12,Region I,Market Segment 3,Sales Channel 1,3985358.407,19926792.04
2017.12,Region I,Market Segment 3,Sales Channel 2,2311507.876,11557539.38
2017.12,Region I,Market Segment 3,Sales Channel 3,1434729.027,2869458.053
2017.12,Region I,Market Segment 3,Sales Channel 4,239121.5044,717364.5133
2017.12,Region I,Market Segment 4,Sales Channel 1,3985358.407,7970716.815
2017.12,Region I,Market Segment 4,Sales Channel 2,2311507.876,9246031.505
2017.12,Region I,Market Segment 4,Sales Channel 3,1434729.027,7173645.133
2017.12,Region I,Market Segment 4,Sales Channel 4,239121.5044,1195607.522
2018.01,Region A,Market Segment 1,Sales Channel 1,54629336.83,109258673.7
2018.01,Region A,Market Segment 1,Sales Channel 2,31685015.36,126740061.4
2018.01,Region A,Market Segment 1,Sales Channel 3,19666561.26,58999683.78
2018.01,Region A,Market Segment 1,Sales Channel 4,3277760.21,9833280.63
2018.01,Region A,Market Segment 2,Sales Channel 1,6828667.104,27314668.42
2018.01,Region A,Market Segment 2,Sales Channel 2,3960626.92,15842507.68
2018.01,Region A,Market Segment 2,Sales Channel 3,2458320.157,12291600.79
2018.01,Region A,Market Segment 2,Sales Channel 4,409720.0262,1229160.079
2018.01,Region A,Market Segment 3,Sales Channel 1,3414333.552,6828667.104
2018.01,Region A,Market Segment 3,Sales Channel 2,1980313.46,7921253.84
2018.01,Region A,Market Segment 3,Sales Channel 3,1229160.079,4916640.315
2018.01,Region A,Market Segment 3,Sales Channel 4,204860.0131,409720.0262
2018.01,Region A,Market Segment 4,Sales Channel 1,3414333.552,17071667.76
2018.01,Region A,Market Segment 4,Sales Channel 2,1980313.46,3960626.92
2018.01,Region A,Market Segment 4,Sales Channel 3,1229160.079,4916640.315
2018.01,Region A,Market Segment 4,Sales Channel 4,204860.0131,819440.0525
2018.01,Region B,Market Segment 1,Sales Channel 1,24037354.35,72112063.04
2018.01,Region B,Market Segment 1,Sales Channel 2,13941665.52,27883331.04
2018.01,Region B,Market Segment 1,Sales Channel 3,8653447.564,34613790.26
2018.01,Region B,Market Segment 1,Sales Channel 4,1442241.261,7211206.304
2018.01,Region B,Market Segment 2,Sales Channel 1,3004669.293,6009338.586
2018.01,Region B,Market Segment 2,Sales Channel 2,1742708.19,8713540.95
2018.01,Region B,Market Segment 2,Sales Channel 3,1081680.946,2163361.891
2018.01,Region B,Market Segment 2,Sales Channel 4,180280.1576,540840.4728
2018.01,Region B,Market Segment 3,Sales Channel 1,1502334.647,4507003.94
2018.01,Region B,Market Segment 3,Sales Channel 2,871354.095,4356770.475
2018.01,Region B,Market Segment 3,Sales Channel 3,540840.4728,1081680.946
2018.01,Region B,Market Segment 3,Sales Channel 4,90140.07879,360560.3152
2018.01,Region B,Market Segment 4,Sales Channel 1,1502334.647,3004669.293
2018.01,Region B,Market Segment 4,Sales Channel 2,871354.095,1742708.19
2018.01,Region B,Market Segment 4,Sales Channel 3,540840.4728,2704202.364
2018.01,Region B,Market Segment 4,Sales Channel 4,90140.07879,180280.1576
2018.01,Region C,Market Segment 1,Sales Channel 1,47295697.76,141887093.3
2018.01,Region C,Market Segment 1,Sales Channel 2,27431504.7,109726018.8
2018.01,Region C,Market Segment 1,Sales Channel 3,17026451.19,85132255.97
2018.01,Region C,Market Segment 1,Sales Channel 4,2837741.866,11350967.46
2018.01,Region C,Market Segment 2,Sales Channel 1,5911962.22,17735886.66
2018.01,Region C,Market Segment 2,Sales Channel 2,3428938.088,13715752.35
2018.01,Region C,Market Segment 2,Sales Channel 3,2128306.399,8513225.597
2018.01,Region C,Market Segment 2,Sales Channel 4,354717.7332,709435.4664
2018.01,Region C,Market Segment 3,Sales Channel 1,2955981.11,5911962.22
2018.01,Region C,Market Segment 3,Sales Channel 2,1714469.044,8572345.219
2018.01,Region C,Market Segment 3,Sales Channel 3,1064153.2,2128306.399
2018.01,Region C,Market Segment 3,Sales Channel 4,177358.8666,354717.7332
2018.01,Region C,Market Segment 4,Sales Channel 1,2955981.11,8867943.33
2018.01,Region C,Market Segment 4,Sales Channel 2,1714469.044,6857876.175
2018.01,Region C,Market Segment 4,Sales Channel 3,1064153.2,2128306.399
2018.01,Region C,Market Segment 4,Sales Channel 4,177358.8666,886794.333
2018.01,Region D,Market Segment 1,Sales Channel 1,16761628.06,33523256.13
2018.01,Region D,Market Segment 1,Sales Channel 2,9721744.277,19443488.55
2018.01,Region D,Market Segment 1,Sales Channel 3,6034186.103,12068372.21
2018.01,Region D,Market Segment 1,Sales Channel 4,1005697.684,2011395.368
2018.01,Region D,Market Segment 2,Sales Channel 1,2095203.508,10476017.54
2018.01,Region D,Market Segment 2,Sales Channel 2,1215218.035,4860872.138
2018.01,Region D,Market Segment 2,Sales Channel 3,754273.2629,1508546.526
2018.01,Region D,Market Segment 2,Sales Channel 4,125712.2105,502848.8419
2018.01,Region D,Market Segment 3,Sales Channel 1,1047601.754,3142805.262
2018.01,Region D,Market Segment 3,Sales Channel 2,607609.0173,2430436.069
2018.01,Region D,Market Segment 3,Sales Channel 3,377136.6314,1131409.894
2018.01,Region D,Market Segment 3,Sales Channel 4,62856.10524,314280.5262
2018.01,Region D,Market Segment 4,Sales Channel 1,1047601.754,2095203.508
2018.01,Region D,Market Segment 4,Sales Channel 2,607609.0173,3038045.086
2018.01,Region D,Market Segment 4,Sales Channel 3,377136.6314,1885683.157
2018.01,Region D,Market Segment 4,Sales Channel 4,62856.10524,188568.3157
2018.01,Region E,Market Segment 1,Sales Channel 1,21483786.8,64451360.4
2018.01,Region E,Market Segment 1,Sales Channel 2,12460596.34,49842385.38
2018.01,Region E,Market Segment 1,Sales Channel 3,7734163.248,38670816.24
2018.01,Region E,Market Segment 1,Sales Channel 4,1289027.208,2578054.416
2018.01,Region E,Market Segment 2,Sales Channel 1,2685473.35,13427366.75
2018.01,Region E,Market Segment 2,Sales Channel 2,1557574.543,3115149.086
2018.01,Region E,Market Segment 2,Sales Channel 3,966770.406,3867081.624
2018.01,Region E,Market Segment 2,Sales Channel 4,161128.401,322256.802
2018.01,Region E,Market Segment 3,Sales Channel 1,1342736.675,6713683.375
2018.01,Region E,Market Segment 3,Sales Channel 2,778787.2715,3115149.086
2018.01,Region E,Market Segment 3,Sales Channel 3,483385.203,1450155.609
2018.01,Region E,Market Segment 3,Sales Channel 4,80564.2005,402821.0025
2018.01,Region E,Market Segment 4,Sales Channel 1,1342736.675,4028210.025
2018.01,Region E,Market Segment 4,Sales Channel 2,778787.2715,3115149.086
2018.01,Region E,Market Segment 4,Sales Channel 3,483385.203,966770.406
2018.01,Region E,Market Segment 4,Sales Channel 4,80564.2005,241692.6015
2018.01,Region F,Market Segment 1,Sales Channel 1,72015992.79,360079964
2018.01,Region F,Market Segment 1,Sales Channel 2,41769275.82,208846379.1
2018.01,Region F,Market Segment 1,Sales Channel 3,25925757.41,103703029.6
2018.01,Region F,Market Segment 1,Sales Channel 4,4320959.568,21604797.84
2018.01,Region F,Market Segment 2,Sales Channel 1,9001999.099,18003998.2
2018.01,Region F,Market Segment 2,Sales Channel 2,5221159.478,15663478.43
2018.01,Region F,Market Segment 2,Sales Channel 3,3240719.676,9722159.027
2018.01,Region F,Market Segment 2,Sales Channel 4,540119.946,2700599.73
2018.01,Region F,Market Segment 3,Sales Channel 1,4500999.55,13502998.65
2018.01,Region F,Market Segment 3,Sales Channel 2,2610579.739,5221159.478
2018.01,Region F,Market Segment 3,Sales Channel 3,1620359.838,6481439.351
2018.01,Region F,Market Segment 3,Sales Channel 4,270059.973,810179.9189
2018.01,Region F,Market Segment 4,Sales Channel 1,4500999.55,9001999.099
2018.01,Region F,Market Segment 4,Sales Channel 2,2610579.739,5221159.478
2018.01,Region F,Market Segment 4,Sales Channel 3,1620359.838,6481439.351
2018.01,Region F,Market Segment 4,Sales Channel 4,270059.973,1080239.892
2018.01,Region G,Market Segment 1,Sales Channel 1,44419773.88,133259321.6
2018.01,Region G,Market Segment 1,Sales Channel 2,25763468.85,51526937.7
2018.01,Region G,Market Segment 1,Sales Channel 3,15991118.6,47973355.79
2018.01,Region G,Market Segment 1,Sales Channel 4,2665186.433,7995559.299
2018.01,Region G,Market Segment 2,Sales Channel 1,5552471.735,11104943.47
2018.01,Region G,Market Segment 2,Sales Channel 2,3220433.606,9661300.819
2018.01,Region G,Market Segment 2,Sales Channel 3,1998889.825,9994449.123
2018.01,Region G,Market Segment 2,Sales Channel 4,333148.3041,999444.9123
2018.01,Region G,Market Segment 3,Sales Channel 1,2776235.868,11104943.47
2018.01,Region G,Market Segment 3,Sales Channel 2,1610216.803,3220433.606
2018.01,Region G,Market Segment 3,Sales Channel 3,999444.9123,2998334.737
2018.01,Region G,Market Segment 3,Sales Channel 4,166574.1521,832870.7603
2018.01,Region G,Market Segment 4,Sales Channel 1,2776235.868,8328707.603
2018.01,Region G,Market Segment 4,Sales Channel 2,1610216.803,3220433.606
2018.01,Region G,Market Segment 4,Sales Channel 3,999444.9123,2998334.737
2018.01,Region G,Market Segment 4,Sales Channel 4,166574.1521,666296.6082
2018.01,Region H,Market Segment 1,Sales Channel 1,26780322.94,133901614.7
2018.01,Region H,Market Segment 1,Sales Channel 2,15532587.3,62130349.22
2018.01,Region H,Market Segment 1,Sales Channel 3,9640916.258,38563665.03
2018.01,Region H,Market Segment 1,Sales Channel 4,1606819.376,4820458.129
2018.01,Region H,Market Segment 2,Sales Channel 1,3347540.367,6695080.735
2018.01,Region H,Market Segment 2,Sales Channel 2,1941573.413,3883146.826
2018.01,Region H,Market Segment 2,Sales Channel 3,1205114.532,3615343.597
2018.01,Region H,Market Segment 2,Sales Channel 4,200852.422,803409.6882
2018.01,Region H,Market Segment 3,Sales Channel 1,1673770.184,5021310.551
2018.01,Region H,Market Segment 3,Sales Channel 2,970786.7065,1941573.413
2018.01,Region H,Market Segment 3,Sales Channel 3,602557.2661,3012786.331
2018.01,Region H,Market Segment 3,Sales Channel 4,100426.211,502131.0551
2018.01,Region H,Market Segment 4,Sales Channel 1,1673770.184,8368850.918
2018.01,Region H,Market Segment 4,Sales Channel 2,970786.7065,1941573.413
2018.01,Region H,Market Segment 4,Sales Channel 3,602557.2661,3012786.331
2018.01,Region H,Market Segment 4,Sales Channel 4,100426.211,401704.8441
2018.01,Region I,Market Segment 1,Sales Channel 1,59766976.71,239067906.9
2018.01,Region I,Market Segment 1,Sales Channel 2,34664846.49,138659386
2018.01,Region I,Market Segment 1,Sales Channel 3,21516111.62,43032223.23
2018.01,Region I,Market Segment 1,Sales Channel 4,3586018.603,17930093.01
2018.01,Region I,Market Segment 2,Sales Channel 1,7470872.089,14941744.18
2018.01,Region I,Market Segment 2,Sales Channel 2,4333105.812,12999317.44
2018.01,Region I,Market Segment 2,Sales Channel 3,2689513.952,10758055.81
2018.01,Region I,Market Segment 2,Sales Channel 4,448252.3254,896504.6507
2018.01,Region I,Market Segment 3,Sales Channel 1,3735436.045,14941744.18
2018.01,Region I,Market Segment 3,Sales Channel 2,2166552.906,6499658.718
2018.01,Region I,Market Segment 3,Sales Channel 3,1344756.976,2689513.952
2018.01,Region I,Market Segment 3,Sales Channel 4,224126.1627,448252.3254
2018.01,Region I,Market Segment 4,Sales Channel 1,3735436.045,11206308.13
2018.01,Region I,Market Segment 4,Sales Channel 2,2166552.906,6499658.718
2018.01,Region I,Market Segment 4,Sales Channel 3,1344756.976,5379027.904
2018.01,Region I,Market Segment 4,Sales Channel 4,224126.1627,1120630.813
2018.02,Region A,Market Segment 1,Sales Channel 1,59383968.25,296919841.2
2018.02,Region A,Market Segment 1,Sales Channel 2,34442701.58,172213507.9
2018.02,Region A,Market Segment 1,Sales Channel 3,21378228.57,64134685.71
2018.02,Region A,Market Segment 1,Sales Channel 4,3563038.095,14252152.38
2018.02,Region A,Market Segment 2,Sales Channel 1,7422996.031,37114980.16
2018.02,Region A,Market Segment 2,Sales Channel 2,4305337.698,8610675.396
2018.02,Region A,Market Segment 2,Sales Channel 3,2672278.571,5344557.142
2018.02,Region A,Market Segment 2,Sales Channel 4,445379.7619,2226898.809
2018.02,Region A,Market Segment 3,Sales Channel 1,3711498.016,7422996.031
2018.02,Region A,Market Segment 3,Sales Channel 2,2152668.849,6458006.547
2018.02,Region A,Market Segment 3,Sales Channel 3,1336139.286,5344557.142
2018.02,Region A,Market Segment 3,Sales Channel 4,222689.8809,890759.5237
2018.02,Region A,Market Segment 4,Sales Channel 1,3711498.016,7422996.031
2018.02,Region A,Market Segment 4,Sales Channel 2,2152668.849,10763344.24
2018.02,Region A,Market Segment 4,Sales Channel 3,1336139.286,2672278.571
2018.02,Region A,Market Segment 4,Sales Channel 4,222689.8809,668069.6428
2018.02,Region B,Market Segment 1,Sales Channel 1,26129431,52258862
2018.02,Region B,Market Segment 1,Sales Channel 2,15155069.98,75775349.9
2018.02,Region B,Market Segment 1,Sales Channel 3,9406595.159,37626380.64
2018.02,Region B,Market Segment 1,Sales Channel 4,1567765.86,6271063.44
2018.02,Region B,Market Segment 2,Sales Channel 1,3266178.875,6532357.75
2018.02,Region B,Market Segment 2,Sales Channel 2,1894383.747,7577534.99
2018.02,Region B,Market Segment 2,Sales Channel 3,1175824.395,4703297.58
2018.02,Region B,Market Segment 2,Sales Channel 4,195970.7325,391941.465
2018.02,Region B,Market Segment 3,Sales Channel 1,1633089.437,6532357.75
2018.02,Region B,Market Segment 3,Sales Channel 2,947191.8737,3788767.495
2018.02,Region B,Market Segment 3,Sales Channel 3,587912.1975,2351648.79
2018.02,Region B,Market Segment 3,Sales Channel 4,97985.36624,391941.465
2018.02,Region B,Market Segment 4,Sales Channel 1,1633089.437,8165447.187
2018.02,Region B,Market Segment 4,Sales Channel 2,947191.8737,3788767.495
2018.02,Region B,Market Segment 4,Sales Channel 3,587912.1975,1763736.592
2018.02,Region B,Market Segment 4,Sales Channel 4,97985.36624,293956.0987
2018.02,Region C,Market Segment 1,Sales Channel 1,51412050.32,102824100.6
2018.02,Region C,Market Segment 1,Sales Channel 2,29818989.19,59637978.37
2018.02,Region C,Market Segment 1,Sales Channel 3,18508338.12,92541690.58
2018.02,Region C,Market Segment 1,Sales Channel 4,3084723.019,12338892.08
2018.02,Region C,Market Segment 2,Sales Channel 1,6426506.29,25706025.16
2018.02,Region C,Market Segment 2,Sales Channel 2,3727373.648,14909494.59
2018.02,Region C,Market Segment 2,Sales Channel 3,2313542.264,6940626.793
2018.02,Region C,Market Segment 2,Sales Channel 4,385590.3774,1542361.51
2018.02,Region C,Market Segment 3,Sales Channel 1,3213253.145,16066265.73
2018.02,Region C,Market Segment 3,Sales Channel 2,1863686.824,3727373.648
2018.02,Region C,Market Segment 3,Sales Channel 3,1156771.132,4627084.529
2018.02,Region C,Market Segment 3,Sales Channel 4,192795.1887,578385.5661
2018.02,Region C,Market Segment 4,Sales Channel 1,3213253.145,16066265.73
2018.02,Region C,Market Segment 4,Sales Channel 2,1863686.824,9318434.121
2018.02,Region C,Market Segment 4,Sales Channel 3,1156771.132,4627084.529
2018.02,Region C,Market Segment 4,Sales Channel 4,192795.1887,578385.5661
2018.02,Region D,Market Segment 1,Sales Channel 1,18220466.26,36440932.53
2018.02,Region D,Market Segment 1,Sales Channel 2,10567870.43,52839352.16
2018.02,Region D,Market Segment 1,Sales Channel 3,6559367.855,32796839.27
2018.02,Region D,Market Segment 1,Sales Channel 4,1093227.976,5466139.879
2018.02,Region D,Market Segment 2,Sales Channel 1,2277558.283,4555116.566
2018.02,Region D,Market Segment 2,Sales Channel 2,1320983.804,6604919.02
2018.02,Region D,Market Segment 2,Sales Channel 3,819920.9818,4099604.909
2018.02,Region D,Market Segment 2,Sales Channel 4,136653.497,683267.4849
2018.02,Region D,Market Segment 3,Sales Channel 1,1138779.141,2277558.283
2018.02,Region D,Market Segment 3,Sales Channel 2,660491.902,3302459.51
2018.02,Region D,Market Segment 3,Sales Channel 3,409960.4909,1229881.473
2018.02,Region D,Market Segment 3,Sales Channel 4,68326.74849,273306.9939
2018.02,Region D,Market Segment 4,Sales Channel 1,1138779.141,3416337.424
2018.02,Region D,Market Segment 4,Sales Channel 2,660491.902,2641967.608
2018.02,Region D,Market Segment 4,Sales Channel 3,409960.4909,1229881.473
2018.02,Region D,Market Segment 4,Sales Channel 4,68326.74849,273306.9939
2018.02,Region E,Market Segment 1,Sales Channel 1,23353615.24,93414460.97
2018.02,Region E,Market Segment 1,Sales Channel 2,13545096.84,67725484.2
2018.02,Region E,Market Segment 1,Sales Channel 3,8407301.487,16814602.97
2018.02,Region E,Market Segment 1,Sales Channel 4,1401216.914,5604867.658
2018.02,Region E,Market Segment 2,Sales Channel 1,2919201.905,5838403.81
2018.02,Region E,Market Segment 2,Sales Channel 2,1693137.105,3386274.21
2018.02,Region E,Market Segment 2,Sales Channel 3,1050912.686,2101825.372
2018.02,Region E,Market Segment 2,Sales Channel 4,175152.1143,875760.5715
2018.02,Region E,Market Segment 3,Sales Channel 1,1459600.953,5838403.81
2018.02,Region E,Market Segment 3,Sales Channel 2,846568.5525,3386274.21
2018.02,Region E,Market Segment 3,Sales Channel 3,525456.3429,2101825.372
2018.02,Region E,Market Segment 3,Sales Channel 4,87576.05715,175152.1143
2018.02,Region E,Market Segment 4,Sales Channel 1,1459600.953,4378802.858
2018.02,Region E,Market Segment 4,Sales Channel 2,846568.5525,3386274.21
2018.02,Region E,Market Segment 4,Sales Channel 3,525456.3429,2101825.372
2018.02,Region E,Market Segment 4,Sales Channel 4,87576.05715,437880.2858
